kume,dosya,etiket,maske_alani,fallback,lfr_raw,p_raw,lfr_roi,p_roi,lfr_lung,p_lung
RSNA,26ae031c-b211-45f4-ac4d-b2983db93aa6.dcm,1,0.1956787109375,False,0.0,0.9996941089630127,0.0,0.9998212456703186,0.8746219873428345,0.9999382495880127
RSNA,17f68ac3-2385-4b13-b8c0-66ba8b343205.dcm,1,0.28415679931640625,False,0.0,0.9999821186065674,0.1243496984243393,0.9999812841415405,0.8574529886245728,0.9999878406524658
RSNA,351d5ab2-c3a6-40ed-baf5-b4a68f45eb4e.dcm,1,0.2687492370605469,False,0.0,0.9999867677688599,0.0016770687652751803,0.9999911785125732,0.9168061017990112,0.9999806880950928
RSNA,33838dc8-dc3e-443c-be25-609ce5d66743.dcm,1,0.17288970947265625,False,0.0011511205229908228,0.999901294708252,0.15321317315101624,0.9999902248382568,0.9601576924324036,0.9998873472213745
RSNA,d21e78db-5c06-4927-b177-54c4b33144ca.dcm,1,0.17206192016601562,False,0.0,0.9999667406082153,0.0,0.9999653100967407,0.9737394452095032,0.9999898672103882
RSNA,c3eca37d-a537-49d8-9711-94d86157ac8b.dcm,1,0.20979690551757812,False,0.0003283197002019733,0.9999867677688599,0.0,0.9999910593032837,0.8411133885383606,0.9999880790710449
RSNA,28a2d8aa-9e29-48d4-b1e3-029e3451ce0b.dcm,1,0.25263214111328125,False,0.0,0.9999750852584839,0.018914837390184402,0.999969482421875,0.8544871211051941,0.9999828338623047
RSNA,1d247b6c-0687-40bf-839e-fd30e01c585d.dcm,1,0.2749900817871094,False,0.0013841100735589862,0.00022182443353813142,0.0,0.00011741765047190711,0.8957111239433289,4.372231705929153e-05
RSNA,bf4649af-b05d-4b63-8b6c-dfac44e5750b.dcm,1,0.12855148315429688,False,0.013924326747655869,0.9999679327011108,0.058497410267591476,0.9999860525131226,0.9543423652648926,0.9999829530715942
RSNA,ca2304fd-4dd8-4b5c-9450-d9d0804cd378.dcm,1,0.19807815551757812,False,0.0,0.9999892711639404,0.00028383583412505686,0.9999890327453613,0.9314504861831665,0.9999735355377197
RSNA,39a52f1d-c8ca-4d68-8b84-817f382febdc.dcm,1,0.24688339233398438,False,0.0,0.9999730587005615,0.0,0.9999771118164062,0.8565875887870789,0.9999740123748779
RSNA,71bed21d-d089-4918-a058-2b6602d176a2.dcm,1,0.15747451782226562,False,0.013865607790648937,0.9999454021453857,0.00997465755790472,0.9999432563781738,0.9585357904434204,0.9999887943267822
RSNA,2a9035ed-ec09-404d-adc3-d37688adf50a.dcm,1,0.22487640380859375,False,0.0,0.9999891519546509,0.10730890929698944,0.9999818801879883,0.9675135016441345,0.999987006187439
RSNA,b33f8121-a8ca-4a55-a876-7c21714bf80a.dcm,1,0.24924468994140625,False,0.0,0.9999773502349854,0.0,0.999955415725708,0.9562880992889404,0.999987006187439
RSNA,a30808af-7822-4f47-beaf-0c1a840cd980.dcm,1,0.2559928894042969,False,0.0,0.9999407529830933,0.0,0.9999563694000244,1.0,0.9999741315841675
RSNA,a47c09af-6f13-4057-a0e6-6e1f422b584d.dcm,1,0.1999969482421875,False,0.0,0.9999871253967285,0.01488577201962471,0.9999916553497314,0.9930790066719055,0.9999871253967285
RSNA,bfb32559-717d-4a13-81b9-1b9fa902f4f2.dcm,1,0.3030433654785156,False,0.0,0.9982994198799133,0.0,0.03935752063989639,0.9949310421943665,0.9999622106552124
RSNA,c5c30350-993f-4a9a-9d1a-c7f8ddca0537.dcm,1,0.2041473388671875,False,0.0,0.999971866607666,0.0004709948552772403,0.9999779462814331,0.996988832950592,0.9999752044677734
RSNA,4e90e80e-e990-4f27-8bc6-c6c11e822974.dcm,1,0.3368568420410156,False,0.0,0.999975323677063,0.005972966086119413,0.9999731779098511,0.9234206676483154,0.9999744892120361
RSNA,8a598b45-731f-4005-b5ba-3f09f2701dff.dcm,1,0.21318817138671875,False,0.0020584503654390574,0.9999762773513794,0.0010138829238712788,0.999840497970581,1.0,0.9999696016311646
RSNA,9388011e-2250-40d3-be0e-39bc418d984b.dcm,1,0.2717399597167969,False,0.0,0.9999814033508301,0.17816771566867828,0.9999865293502808,0.9750486016273499,0.9999840259552002
RSNA,ba9148d0-12d5-4333-9b5f-bb32c687ed66.dcm,1,0.16126632690429688,False,0.0,0.9999703168869019,0.0,0.9999674558639526,0.9856740236282349,0.9999759197235107
RSNA,a0ca289b-6e0b-433d-a45b-8f86044e1ae1.dcm,1,0.2819938659667969,False,0.0,0.999910831451416,0.014751282520592213,0.9999639987945557,0.9853076338768005,0.9999866485595703
RSNA,817c90f1-a049-474e-bfd5-4e937e6fc234.dcm,1,0.13077545166015625,False,0.004031432326883078,0.9999229907989502,0.013015203177928925,0.9999847412109375,0.9584559798240662,0.9999805688858032
RSNA,bb4908ba-2679-4f7e-aeb9-c5c4577b40b8.dcm,1,0.22528457641601562,False,0.0,0.9999493360519409,0.007090284489095211,0.9973529577255249,0.9815294742584229,0.9999692440032959
RSNA,ababe608-9aa0-4055-8a0b-6ecd96b84b54.dcm,1,0.17833709716796875,False,0.021313004195690155,0.9999860525131226,0.013567592017352581,0.9999852180480957,0.9664984941482544,0.9999855756759644
RSNA,06b52ffd-71b8-429a-a284-bb39240ed343.dcm,1,0.1969451904296875,False,0.0,0.9999794960021973,0.0018988805823028088,0.9999634027481079,0.9424062371253967,0.9999865293502808
